C,N,R,col_err,eta,family,hyb_cost,hyb_gap_pct,m,max_cell_dev,mode,n,opt_cost,opt_time,relax_time,round_time,rounder,row_err,tau,topk,trial
,20000,,,0.0,transport,324.9202418153932,0.0,200,,exact,200,324.9202418153932,0.25594568252563477,0.0019404888153076172,0.2589294910430908,,,0.05,30,18
,20000,,,0.0,transport,283.5272109206264,0.0,200,,exact,200,283.5272109206264,0.28623223304748535,0.0017061233520507812,0.250262975692749,,,0.05,30,19
,20000,,,0.0,transport,309.21273054497857,0.0,200,,exact,200,309.21273054497857,0.30711793899536133,0.0019407272338867188,0.29565954208374023,,,0.05,30,20
,30000,,,0.0,transport,319.37499564126415,0.0,300,,exact,300,319.37499564126415,0.8556153774261475,0.003113269805908203,0.9202744960784912,,,0.05,30,1
,30000,,,0.0,transport,269.0642869084313,0.0,300,,exact,300,269.0642869084313,0.8604176044464111,0.002796649932861328,0.9273960590362549,,,0.05,30,2
,30000,,,0.0,transport,354.8324754206366,0.0,300,,exact,300,354.8324754206366,1.0191383361816406,0.0027205944061279297,0.9353621006011963,,,0.05,30,3
,30000,,,0.0,transport,309.71930524005063,0.0,300,,exact,300,309.71930524005063,0.9956555366516113,0.0035452842712402344,1.3523838520050049,,,0.05,30,4
,30000,,,0.0,transport,317.1408444786395,0.0,300,,exact,300,317.1408444786395,0.9521453380584717,0.0033311843872070312,0.8604588508605957,,,0.05,30,5
,30000,,,0.0,transport,349.3895782725908,0.0,300,,exact,300,349.3895782725908,0.9306521415710449,0.0029916763305664062,0.8997681140899658,,,0.05,30,6
,30000,,,0.0,transport,316.8153991940836,0.0,300,,exact,300,316.8153991940836,0.8983657360076904,0.0026314258575439453,0.8804380893707275,,,0.05,30,7
,30000,,,0.0,transport,362.84315478617606,0.0,300,,exact,300,362.84315478617606,0.938157320022583,0.0028514862060546875,0.8963086605072021,,,0.05,30,8
,30000,,,0.0,transport,392.5430546054967,0.0,300,,exact,300,392.5430546054967,0.8467175960540771,0.003347158432006836,0.8168950080871582,,,0.05,30,9
,30000,,,0.0,transport,357.46962046435465,0.0,300,,exact,300,357.46962046435465,0.9225025177001953,0.0031092166900634766,0.9113223552703857,,,0.05,30,10
,30000,,,0.0,transport,325.5339069775101,0.0,300,,exact,300,325.5339069775101,0.8575773239135742,0.0033416748046875,0.8500733375549316,,,0.05,30,11
,30000,,,0.0,transport,332.88861832050816,0.0,300,,exact,300,332.88861832050816,0.8868398666381836,0.002741098403930664,0.8424506187438965,,,0.05,30,12
,30000,,,0.0,transport,339.06770211723637,0.0,300,,exact,300,339.06770211723637,0.827028751373291,0.003559589385986328,0.8597028255462646,,,0.05,30,13
,30000,,,0.0,transport,295.42600487703214,0.0,300,,exact,300,295.42600487703214,0.8339245319366455,0.004328727722167969,0.8635847568511963,,,0.05,30,14
,30000,,,0.0,transport,332.0261716300789,0.0,300,,exact,300,332.0261716300789,0.8852307796478271,0.003337383270263672,0.8667254447937012,,,0.05,30,15
,30000,,,0.0,transport,330.7357105410597,0.0,300,,exact,300,330.7357105410597,0.831758975982666,0.0032455921173095703,0.8961994647979736,,,0.05,30,16
,30000,,,0.0,transport,339.3638552180736,0.0,300,,exact,300,339.3638552180736,0.8130428791046143,0.002967357635498047,1.0992918014526367,,,0.05,30,17
,30000,,,0.0,transport,342.833196033489,0.0,300,,exact,300,342.833196033489,1.4104080200195312,0.004937410354614258,1.3538925647735596,,,0.05,30,18
,30000,,,0.0,transport,299.46902830998243,0.0,300,,exact,300,299.46902830998243,1.6857032775878906,0.00396728515625,1.1409132480621338,,,0.05,30,19
,30000,,,0.0,transport,300.4968880637622,0.0,300,,exact,300,300.4968880637622,1.0443918704986572,0.0033409595489501953,0.9788591861724854,,,0.05,30,20
